Sponsor,Study Title,Medicine or Vaccine (generic name),Sponsor Identification Number,Trial Registry Identification Number(s),Medical Condition,Phase,Link to Sponsor Study Registry,Link to study details on ClinicalTrials.gov (if available),Link to study details on EudraCT (if available),Analysis-ready dataset,Annotated case report form,Clinical study report,Dataset specifications,Protocol with any amendments,Raw dataset,Reporting and analysis plan,Additional Information about the data and documents available for this study,Date Added to this Site
GSK,"U0289-401: An Evaluator Blinded, 8 Week, Split-Face Study to Evaluate and Compare the Efficacy and Tolerability of MAXCLARITY II and PROACTIV in Subjects with Acne",benzoyl peroxide/salicylic acid,STF114550,NCT01706250,Acne Vulgaris,Phase 4,http://www.gsk-clinicalstudyregister.com/study/114550,http://clinicaltrials.gov/show/NCT01706250,,N,Y,Y,Y,N,Y,N,An analysis-ready dataset and a reporting and analysis plan are not available for this study. A protocol is not available for this study because only a draft version was located; no final version found in archives.,1-Aug-2015
GSK,"GSK1550188, A randomised, single-blind, placebo controlled, dose ascending, single dose study to evaluate the safety, tolerability, pharmacokinetics, and pharmacodynamic of GSK1550188 in Japanese subjects with Systemic Lupus Erythematosus (SLE)",belimumab,BEL114243,NCT01381536,Systemic Lupus Erythematosus,Phase 1,http://www.gsk-clinicalstudyregister.com/study/114243,http://clinicaltrials.gov/show/NCT01381536,,N,Y,Y,Y,N,Y,Y,An analysis-ready dataset is not available for this study. A protocol is not available for this study because an English language version was not created.,1-Jul-2015
GSK,"A Multicenter, Randomized, Double-Blind, Phase 3 Study of the Safety and Efficacy of Emulsion Formulation U0267, versus Vehicle in Subjects with Plaque-type Psoriasis","calcipotriol, calcipotriene",STF114741,NCT00688519,Psoriasis,Phase 3,http://www.gsk-clinicalstudyregister.com/study/114741,http://clinicaltrials.gov/show/NCT00688519,,Y,Y,Y,Y,Y,Y,Y,,1-Jul-2015
GSK,Two-week Study to Determine and Compare the Tolerance and Irritation Potential of Duac® Topical Gel (clindamycin 1% and benzoyl peroxide 5%) to ACANYA™ Gel (clindamycin phosphate 1.2% and benzoyl peroxide 2.5%) Topical Acne Medications,benzoyl peroxide/clindamycin phosphate,STF114546,NCT01015638,Acne Vulgaris,Phase 4,http://www.gsk-clinicalstudyregister.com/study/114546,http://clinicaltrials.gov/show/NCT01015638,,N,N,Y,Y,Y,Y,N,An analysis-ready dataset and reporting and analysis plan are not available for this study. An annotated case report form is not available for this study. A blank case report form will be provided.,1-Aug-2014
GSK,"A single-blind, randomized, comparative split-face study evaluating the tolerability of clindamycin and benzoyl peroxide gel to benzoyl peroxide/adapalene gel in the treatment of acne vulgaris.",benzoyl peroxide/clindamycin phosphate,STF114547,NCT00964223,Acne Vulgaris,Phase 4,http://www.gsk-clinicalstudyregister.com/study/114547,http://clinicaltrials.gov/show/NCT00964223,,Y,Y,Y,Y,Y,N,Y,A raw dataset is not available for this study.,1-Aug-2014
GSK,"A Phase 4, Single-Blind, Randomized, Study to Compare the Tolerability and Efficacy of Tazorac Cream when used in Combination with Either Duac Gel or Acanya Gel for the Treatment of Facial Acne Vulgaris",benzoyl peroxide/clindamycin phosphate,STF114566,NCT01016977,Acne Vulgaris,Phase 4,http://www.gsk-clinicalstudyregister.com/study/114566,http://clinicaltrials.gov/show/NCT01016977,,Y,Y,Y,Y,Y,N,Y,A raw dataset is not available for this study.,1-Aug-2014
GSK,"A Phase 3 Multicenter, Randomized, Double-Blind, Active And Vehicle-Controlled Study Of The Safety And Efficacy Of A Clindamycin / Benzoyl Peroxide Gel Versus Clindamycin Gel Versus Benzoyl Peroxide Gel Versus Vehicle Gel In Subjects With Acne Vulgaris",benzoyl peroxide/clindamycin phosphate,STF114677,NCT00776919,Acne Vulgaris,Phase 3,http://www.gsk-clinicalstudyregister.com/study/114677,http://clinicaltrials.gov/show/NCT00776919,,Y,Y,Y,Y,Y,N,Y,A raw dataset is not available for this study.,1-Aug-2014
GSK,"A Multicenter, Randomized, Double-Blind Study of the Safety and Efficacy of Calcipotriene Foam, 0.005%, Versus Vehicle Foam In The Treatment Of Moderate Plaque-Type Scalp And Body Psoriasis","calcipotriol, calcipotriene",STF114743,NCT01139580,Psoriasis,Phase 3,http://www.gsk-clinicalstudyregister.com/study/114743,http://clinicaltrials.gov/show/NCT01139580,,N,Y,Y,Y,Y,Y,Y,An analysis-ready dataset is not available for this study.,1-May-2013
GSK,A study to evaluate the potential incidence of orthostatic hypotension in elderly hypertensive patients following administration of a combination of carvedilol CR and lisinopril,carvedilol,CFD109701,NCT00508365,Hypertension,Phase 1,http://www.gsk-clinicalstudyregister.com/study/CFD109701,http://clinicaltrials.gov/show/NCT00508365,,Y,Y,Y,Y,Y,Y,Y,,1-May-2013
GSK,"COR111096, A Randomized, Double-Blind, Active-Controlled, Parallel Group, Multicenter Study Comparing the Proportion of Subjects with Stage 1 or 2 Essential Hypertension Who Achieve Target Blood Pressure While Receiving Either carvedilol CR + lisinopril or lisinopril Monotherapy",carvedilol,COR111096,NCT00624065,Hypertension,Phase 3,http://www.gsk-clinicalstudyregister.com/study/COR111096,http://clinicaltrials.gov/show/NCT00624065,,Y,Y,Y,Y,Y,Y,Y,,1-May-2013
GSK,"A Phase I, Open-Label, Randomized, Two Period Crossover Study to Investigate the Effects of GW679769 on the Pharmacokinetics of Docetaxel in Subjects with Cancer",casopitant,NKV100781,NCT00440128,"Nausea and Vomiting, Chemotherapy-Induced",Phase 1,http://www.gsk-clinicalstudyregister.com/study/NKV100781,http://clinicaltrials.gov/show/NCT00440128,,Y,Y,Y,Y,Y,Y,Y,,1-Jul-2014
GSK,"A single-blind, randomized, comparative pilot study evaluating the tolerability of two topical combination therapies in the treatment of acne vulgaris",benzoyl peroxide/clindamycin phosphate,STF114544,NCT00887484,Acne Vulgaris,Phase 4,http://www.gsk-clinicalstudyregister.com/study/114544,http://clinicaltrials.gov/show/NCT00887484,,N,N,Y,Y,Y,Y,N,An analysis-ready dataset is not available for this study.  An annotated case report form is not available for this study. A blank case report form will be provided.,1-Aug-2014
GSK,Ethanol-Free Clobetasol Propionate Foam 0.05% (Olux-E Foam) vs Vehicle Foam in the Treatment of Chronic Hand Dermatitis.,clobetasol,STF115054,NCT01323673,"Dermatitis, Chronic",Phase 4,http://www.gsk-clinicalstudyregister.com/study/115054,http://clinicaltrials.gov/show/NCT01323673,,N,Y,Y,Y,Y,Y,Y,An analysis-ready dataset is not available for this study.,1-May-2013
GSK,"A randomised, double-blind, placebo-controlled, dose ascending, 2-cohort, parallel group study to examine the safety, tolerability, pharmacokinetics and pharmacodynamics of twice-daily inhaled doses of GSK233705B formulated with the excipient Magnesium Stearate in COPD subjects for 7-days.",darotropium bromide,AC2108378,NCT00453479,"Pulmonary Disease, Chronic Obstructive",Phase 2,http://www.gsk-clinicalstudyregister.com/study/AC2108378,http://clinicaltrials.gov/show/NCT00453479,,Y,Y,Y,Y,Y,Y,Y,,1-May-2013
GSK,Dose-Ranging Study for GSK233705B Delivered Once Daily in Subjects with COPD,darotropium bromide,AC2110664,NCT00676052,"Pulmonary Disease, Chronic Obstructive",Phase 2,http://www.gsk-clinicalstudyregister.com/study/AC2110664,http://clinicaltrials.gov/show/NCT00676052,,Y,Y,Y,Y,Y,Y,Y,,1-May-2013
GSK,"A multicenter, randomized, double-blind, placebo-controlled, parallel-group, 4-week study to evaluate the safety, tolerability, pharmacodynamics and pharmacokinetics of repeat inhaled doses of the combination of GSK233705 and GW642444 administered once-daily in subjects with COPD",vilanterol/darotropium bromide,DB1111581,NCT00749411,"Pulmonary Disease, Chronic Obstructive",Phase 2,http://www.gsk-clinicalstudyregister.com/study/DB1111581,http://clinicaltrials.gov/show/NCT00749411,,Y,Y,Y,Y,Y,Y,Y,,1-May-2013
GSK,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Multi-Center Study to Evaluate the Effects of a One-Year Course of Fluticasone Furoate Nasal Spray 110mcg QD on Growth in Pre-Pubescent, Pediatric Subjects with Perennial Allergic Rhinitis",fluticasone furoate,FFR101782,NCT00570492,"Rhinitis, Allergic, Perennial",Phase 4,http://www.gsk-clinicalstudyregister.com/study/FFR101782,http://clinicaltrials.gov/show/NCT00570492,,Y,Y,Y,Y,Y,Y,Y,,1-Jul-2015
GSK,"A Randomized, Double-Blind, Placebo-Controlled, Parallel Group, Multicenter, Two-Year Study to Evaluate the Ocular Safety of Once-Daily, Fluticasone Furoate Nasal Spray 110mcg in Adults and Adolescents 12 Years of Age and Older with Perennial Allergic Rhinitis",fluticasone furoate,FFR110537,NCT00682643,"Rhinitis, Allergic, Perennial",Phase 4,http://www.gsk-clinicalstudyregister.com/study/FFR110537,http://clinicaltrials.gov/show/NCT00682643,,Y,Y,Y,Y,Y,Y,Y,A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Sep-2013
GSK,"A Pilot, Randomised, Double-blind, Placebo-controlled, Parallel-group, Multicentre Study to Evaluate the Efficacy and Safety of Once-daily Intranasal Administration of Fluticasone Furoate Nasal Spray 110 mcg for 4 Weeks in Adults and Adolescents with Irritant (Non-Allergic) Rhinitis",fluticasone furoate,FFR111158,NCT00730756,"Rhinitis, Allergic, Perennial",Phase 2,http://www.gsk-clinicalstudyregister.com/study/FFR111158,http://clinicaltrials.gov/show/NCT00730756,,Y,Y,Y,Y,Y,Y,Y,,1-May-2013
GSK,"A Randomized, Double-blind, Placebo-controlled, Active Comparator, One-Week, Cross-Over, Multicenter Study to Evaluate the Efficacy and Patient Preference of Nasal Spray Characteristics of Once-Daily, Intranasal Administration of 110mcg Fluticasone Furoate Nasal Spray and 200mcg Fluticasone Propionate Nasal Spray in Adult Subjects with Seasonal Allergic Rhinitis",fluticasone furoate,FFU105924,NCT00539006,"Rhinitis, Allergic, Perennial",Phase 4,http://www.gsk-clinicalstudyregister.com/study/FFU105924,http://clinicaltrials.gov/show/NCT00539006,,Y,Y,Y,Y,Y,Y,Y,,1-May-2013
GSK,"A Randomized, Double-blind, Placebo-controlled, Active Comparator, One-Week, Cross-Over, Multicenter Study to Evaluate the Efficacy and Patient Preference of Nasal Spray Characteristics of Once-Daily, Intranasal Administration of 110mcg Fluticasone Furoate Nasal Spray and 200mcg Fluticasone Propionate Nasal Spray in Adult Subjects with Seasonal Allergic Rhinitis",fluticasone furoate,FFU105927,NCT00519636,"Rhinitis, Allergic, Perennial",Phase 4,http://www.gsk-clinicalstudyregister.com/study/FFU105927,http://clinicaltrials.gov/show/NCT00519636,,Y,Y,Y,Y,Y,Y,Y,,1-May-2013
GSK,A Comparison of Fluticasone Furoate Nasal Spray versus Oral Fexofenadine in the treatment of seasonal allergic rhinitis,fluticasone furoate,FFU109047,NCT00502775,"Rhinitis, Allergic, Seasonal",Phase 4,http://www.gsk-clinicalstudyregister.com/study/FFU109047,http://clinicaltrials.gov/show/NCT00502775,,Y,Y,Y,Y,Y,Y,Y,,1-May-2013
