SIN,nct_id,filename
NN9535-3627,NCT02305381,novo-NN9535-3627.pdf
NN9535-4216,NCT02648204,novo-NN9535-4216.pdf
NN9068-4185,NCT02420262,novo-NN9068-4185.pdf
NN9535-4092,NCT02254291,novo-NN9535-4092.pdf
NN9535-4091,NCT02207374,novo-NN9535-4091.pdf
NN9535-3625,NCT02128932,novo-NN9535-3625.pdf
NN9211-4083,NCT02098395,novo-NN9211-4083.pdf
CAIN457A2317,NCT02074982,CAIN457A2317-16409.pdf
CRLX030A3301,NCT02064868,CRLX030A3301-17081.pdf
NN9535-3623,NCT02054897,novo-NN9535-3623.pdf
CQVA149A3401,NCT01985334,CQVA149A3401-16172.pdf
NN2211-3867,NCT01973231,novo-NN2211-3867.pdf
NN9068-3952,NCT01952145,novo-NN9068-3952.pdf
NN9535-3626,NCT01930188,novo-NN9535-3626.pdf
NN2211-3987,NCT01917656,novo-NN2211-3987.pdf
NN2211-4059,NCT01907854,novo-NN2211-4059.pdf
NN9535-3624,NCT01885208,novo-NN9535-3624.pdf
CLCZ696A2318,NCT01876368,CLCZ696A2318-14009.pdf
CRLX030A2301,NCT01870778,CRLX030A2301-16969.pdf
NN1250-3587,NCT01849289,novo-NN1250-3587.pdf
CFOR258D2416,NCT01845025,CFOR258D2416-15408.pdf
NN9211-3919,NCT01836523,novo-NN9211-3919.pdf
CLCZ696A2315,NCT01785472,CLCZ696A2315-14023.pdf
CQVA149A2318,NCT01782326,CQVA149A2318-14907.pdf
CLAF237A2411,NCT01758380,CLAF237A2411-12463.pdf
CQVA149A2336,NCT01727141,CQVA149A2336-13823.pdf
NN9535-3744,NCT01720446,novo-NN9535-3744.pdf
CNVA237A2318,NCT01715298,CNVA237A2318-13244.pdf
CQVA149A2337,NCT01712516,CQVA149A2337-13824.pdf
CQVA149A2331,NCT01709903,CQVA149A2331-13572.pdf
CNVA237A2317,NCT01709864,CNVA237A2317-12783.pdf
CNVA237A2319,NCT01697696,CNVA237A2319-14285.pdf
CQVA149A2340,NCT01682863,CQVA149A2340-13903.pdf
NN9068-3851,NCT01676116,novo-NN9068-3851.pdf
NN1250-3944,NCT01664247,novo-NN1250-3944.pdf
CFTY720DUS09,NCT01623596,CFTY720DUS09-15134.pdf
NN9068-3951,NCT01618162,novo-NN9068-3951.pdf
NN2211-3917,NCT01617434,novo-NN2211-3917.pdf
CLCZ696A2316,NCT01615198,CLCZ696A2316-12103.pdf
CNVA237A2314,NCT01613326,CNVA237A2314-10804.pdf
CQVA149A2339,NCT01610037,CQVA149A2339-14547.pdf
CNVA237A2316,NCT01604278,CNVA237A2316-12323.pdf
CLCZ696A1306,NCT01599104,CLCZ696A1306-11663.pdf
CQVA149ADE01,NCT01574651,CQVA149ADE01-11423.pdf
CNVA237A2309,NCT01566604,CNVA237A2309-11963.pdf
CQAB149B2401,NCT01555138,CQAB149B2401-13550.pdf
CLAF237ACN01,NCT01541956,CLAF237ACN01-13204.pdf
CNVA237AAU01,NCT01513460,CNVA237AAU01-13163.pdf
NN2211-3924,NCT01512108,novo-NN2211-3924.pdf
NN9068-3912,NCT01392573,novo-NN9068-3912.pdf
CAIN457F2306,NCT01392326,CAIN457F2306-14231.pdf
NN1250-3948,NCT01388361,novo-NN1250-3948.pdf
CSPV100AUS05,NCT01368536,CSPV100AUS05-8044.pdf
CAIN457A2302,NCT01365455,CAIN457A2302-11643.pdf
CAIN457A2303,NCT01358578,CAIN457A2303-13605.pdf
CAIN457F2305,NCT01358175,CAIN457F2305-14387.pdf
CACZ885H2361,NCT01356602,CACZ885H2361-9823.pdf
CAIN457F2309,NCT01350804,CAIN457F2309-14527.pdf
CQVA149A2313,NCT01315249,CQVA149A2313-8143.pdf
CLAF237A23150,NCT01257451,CLAF237A23150-7663.pdf
CSPA100A1301,NCT01237223,CSPA100A1301-6143.pdf
CLAF237A23152,NCT01233622,CLAF237A23152-7383.pdf
CLAF237A23135,NCT01224366,CLAF237A23135-7264.pdf
CIGE025A2313,NCT01202903,CIGE025A2313-12883.pdf
CQVA149A2303,NCT01202188,CQVA149A2303-7983.pdf
CVAA489ACN02,NCT01167153,CVAA489ACN02-5985.pdf
CQVA149A2307,NCT01120717,CQVA149A2307-7603.pdf
CQVA149A2304,NCT01120691,CQVA149A2304-9283.pdf
CQAB149B2356,NCT01089127,CQAB149B2356-4284.pdf
NN1250-3770,NCT01079234,novo-NN1250-3770.pdf
CQAB149B2357,NCT01079130,CQAB149B2357-4285.pdf
NN1250-3718,NCT01076647,novo-NN1250-3718.pdf
