filename,id_value,nct_id
novo-NN9535-3627.pdf,NN9535-3627,NCT02305381
novo-NN9535-4216.pdf,NN9535-4216,NCT02648204
novo-NN9068-4185.pdf,NN9068-4185,NCT02420262
novo-NN9535-4092.pdf,NN9535-4092,NCT02254291
novo-NN9535-4091.pdf,NN9535-4091,NCT02207374
novo-NN9535-3625.pdf,NN9535-3625,NCT02128932
novo-NN9211-4083.pdf,NN9211-4083,NCT02098395
CAIN457A2317-16409.pdf,CAIN457A2317,NCT02074982
CRLX030A3301-17081.pdf,CRLX030A3301,NCT02064868
novo-NN9535-3623.pdf,NN9535-3623,NCT02054897
CQVA149A3401-16172.pdf,CQVA149A3401,NCT01985334
novo-NN2211-3867.pdf,NN2211-3867,NCT01973231
novo-NN9068-3952.pdf,NN9068-3952,NCT01952145
novo-NN9535-3626.pdf,NN9535-3626,NCT01930188
novo-NN2211-3987.pdf,NN2211-3987,NCT01917656
novo-NN2211-4059.pdf,NN2211-4059,NCT01907854
novo-NN9535-3624.pdf,NN9535-3624,NCT01885208
CLCZ696A2318-14009.pdf,CLCZ696A2318,NCT01876368
CRLX030A2301-16969.pdf,CRLX030A2301,NCT01870778
novo-NN1250-3587.pdf,NN1250-3587,NCT01849289
CFOR258D2416-15408.pdf,CFOR258D2416,NCT01845025
novo-NN9211-3919.pdf,NN9211-3919,NCT01836523
CLCZ696A2315-14023.pdf,CLCZ696A2315,NCT01785472
CQVA149A2318-14907.pdf,CQVA149A2318,NCT01782326
CLAF237A2411-12463.pdf,CLAF237A2411,NCT01758380
CQVA149A2336-13823.pdf,CQVA149A2336,NCT01727141
novo-NN9535-3744.pdf,NN9535-3744,NCT01720446
CNVA237A2318-13244.pdf,CNVA237A2318,NCT01715298
CQVA149A2337-13824.pdf,CQVA149A2337,NCT01712516
CQVA149A2331-13572.pdf,CQVA149A2331,NCT01709903
CNVA237A2317-12783.pdf,CNVA237A2317,NCT01709864
CNVA237A2319-14285.pdf,CNVA237A2319,NCT01697696
CQVA149A2340-13903.pdf,CQVA149A2340,NCT01682863
novo-NN9068-3851.pdf,NN9068-3851,NCT01676116
novo-NN1250-3944.pdf,NN1250-3944,NCT01664247
CFTY720DUS09-15134.pdf,CFTY720DUS09,NCT01623596
novo-NN9068-3951.pdf,NN9068-3951,NCT01618162
novo-NN2211-3917.pdf,NN2211-3917,NCT01617434
CLCZ696A2316-12103.pdf,CLCZ696A2316,NCT01615198
CNVA237A2314-10804.pdf,CNVA237A2314,NCT01613326
CQVA149A2339-14547.pdf,CQVA149A2339,NCT01610037
CNVA237A2316-12323.pdf,CNVA237A2316,NCT01604278
CLCZ696A1306-11663.pdf,CLCZ696A1306,NCT01599104
CQVA149ADE01-11423.pdf,CQVA149ADE01,NCT01574651
CNVA237A2309-11963.pdf,CNVA237A2309,NCT01566604
CQAB149B2401-13550.pdf,CQAB149B2401,NCT01555138
CLAF237ACN01-13204.pdf,CLAF237ACN01,NCT01541956
CNVA237AAU01-13163.pdf,CNVA237AAU01,NCT01513460
novo-NN2211-3924.pdf,NN2211-3924,NCT01512108
novo-NN9068-3912.pdf,NN9068-3912,NCT01392573
CAIN457F2306-14231.pdf,CAIN457F2306,NCT01392326
novo-NN1250-3948.pdf,NN1250-3948,NCT01388361
CSPV100AUS05-8044.pdf,CSPV100AUS05,NCT01368536
CAIN457A2302-11643.pdf,CAIN457A2302,NCT01365455
CAIN457A2303-13605.pdf,CAIN457A2303,NCT01358578
CAIN457F2305-14387.pdf,CAIN457F2305,NCT01358175
CACZ885H2361-9823.pdf,CACZ885H2361,NCT01356602
CAIN457F2309-14527.pdf,CAIN457F2309,NCT01350804
CQVA149A2313-8143.pdf,CQVA149A2313,NCT01315249
CLAF237A23150-7663.pdf,CLAF237A23150,NCT01257451
CSPA100A1301-6143.pdf,CSPA100A1301,NCT01237223
CLAF237A23152-7383.pdf,CLAF237A23152,NCT01233622
CLAF237A23135-7264.pdf,CLAF237A23135,NCT01224366
CIGE025A2313-12883.pdf,CIGE025A2313,NCT01202903
CQVA149A2303-7983.pdf,CQVA149A2303,NCT01202188
CVAA489ACN02-5985.pdf,CVAA489ACN02,NCT01167153
CQVA149A2307-7603.pdf,CQVA149A2307,NCT01120717
CQVA149A2304-9283.pdf,CQVA149A2304,NCT01120691
CQAB149B2356-4284.pdf,CQAB149B2356,NCT01089127
novo-NN1250-3770.pdf,NN1250-3770,NCT01079234
CQAB149B2357-4285.pdf,CQAB149B2357,NCT01079130
novo-NN1250-3718.pdf,NN1250-3718,NCT01076647
novo-NN1250-3585.pdf,NN1250-3585,NCT01074268
CQAB149B2354-4282.pdf,CQAB149B2354,NCT01072448
novo-NN1250-3724.pdf,NN1250-3724,NCT01068678
novo-NN1250-3672.pdf,NN1250-3672,NCT01068665
CQAB149B2355-4283.pdf,CQAB149B2355,NCT01068600
novo-NN5401-3597.pdf,NN5401-3597,NCT01059812
novo-NN1250-3586.pdf,NN1250-3586,NCT01059799
novo-NN1250-3580.pdf,NN1250-3580,NCT01046110
novo-NN5401-3593.pdf,NN5401-3593,NCT01045447
CSPP100AFR01-4983.pdf,CSPP100AFR01,NCT01042392
CLCZ696B2314-13786.pdf,CLCZ696B2314,NCT01035255
novo-NN1250-3668.pdf,NN1250-3668,NCT01006291
CNVA237A2304-4863.pdf,CNVA237A2304,NCT01005901
CVAA489A2317-4082.pdf,CVAA489A2317,NCT01001572
novo-NN1250-3583.pdf,NN1250-3583,NCT00982228
novo-NN1250-3582.pdf,NN1250-3582,NCT00972283
CSPA100AUS02-3962.pdf,CSPA100AUS02,NCT00942994
CVEA489AUS01-3740.pdf,CVEA489AUS01,NCT00931710
CNVA237A2303-6884.pdf,CNVA237A2303,NCT00929110
CSPV100AUS02-7183.pdf,CSPV100AUS02,NCT00927394
novo-NN304-1768.pdf,NN304-1768,NCT00909480
CVAL489AAU01-6723.pdf,CVAL489AAU01,NCT00902304
CQAB149B2350-3902.pdf,CQAB149B2350,NCT00900731
CACZ885I2202-4735.pdf,CACZ885I2202,NCT00900146
CLAF237A23118-9563.pdf,CLAF237A23118,NCT00894868
CSPP100A2368-9543.pdf,CSPP100A2368,NCT00894387
CQAB149B2351-3903.pdf,CQAB149B2351,NCT00877383
CSPP100A2408-4311.pdf,CSPP100A2408,NCT00865020
CLAF237B2224-5663.pdf,CLAF237B2224,NCT00860288
novo-NN2211-1842.pdf,NN2211-1842,NCT00856986
CSPA100AUS01-3224.pdf,CSPA100AUS01,NCT00853957
CSPP100A2366-10963.pdf,CSPP100A2366,NCT00853827
CSPP100F2301-15328.pdf,CSPP100F2301,NCT00853658
CQAB149B2341-3901.pdf,CQAB149B2341,NCT00846586
CQAB149B2348-9243.pdf,CQAB149B2348,NCT00845728
CSPA100A2306-3380.pdf,CSPA100A2306,NCT00841672
CLAF237A23140-3760.pdf,CLAF237A23140,NCT00822211
CLAF237B2201-4586.pdf,CLAF237B2201,NCT00821977
CQAB149B2349-3344.pdf,CQAB149B2349,NCT00821093
CSPV100AUS01-3240.pdf,CSPV100AUS01,NCT00809926
CSPP100A2410-3620.pdf,CSPP100A2410,NCT00797316
CQAB149B1302-3343.pdf,CQAB149B1302,NCT00794157
CQAB149B2333-3900.pdf,CQAB149B2333,NCT00792805
CSPP100A2409-3820.pdf,CSPP100A2409,NCT00787605
CSPA100A2304-3043.pdf,CSPA100A2304,NCT00778921
CSPA100A2303-2882.pdf,CSPA100A2303,NCT00777946
CSPP100AUS07-2917.pdf,CSPP100AUS07,NCT00772577
CLAF237A23137E1-5924.pdf,CLAF237A23137E1,NCT00765830
CSAH100A2302-3162.pdf,CSAH100A2302,NCT00765674
CSPP100A2411-2943.pdf,CSPP100A2411,NCT00760266
CSPA100A2305-3000.pdf,CSPA100A2305,NCT00739973
CSPP100AUS03-2916.pdf,CSPP100AUS03,NCT00739596
CFTY720D2306-15030.pdf,CFTY720D2306,NCT00731692
CLMF237A2309-3860.pdf,CLMF237A2309,NCT00728351
CSPP100A2405-2933.pdf,CSPP100A2405,NCT00706134
CSPP100A2353-2930.pdf,CSPP100A2353,NCT00705575
novo-NN2211-1860.pdf,NN2211-1860,NCT00700817
CVAA489A2318-2962.pdf,CVAA489A2318,NCT00699192
CVAH631BUS08-3023.pdf,CVAH631BUS08,NCT00698646
CVAA489AFR02-2858.pdf,CVAA489AFR02,NCT00687973
CQAB149B2335SE-2911.pdf,CQAB149B2335SE,NCT00677807
CSPP100A2404-3340.pdf,CSPP100A2404,NCT00631917
CQAB149B2346-2674.pdf,CQAB149B2346,NCT00624286
novo-NN2211-1796.pdf,NN2211-1796,NCT00614120
CQAB149B2336-2848.pdf,CQAB149B2336,NCT00567996
CSPP100E2337-11063.pdf,CSPP100E2337,NCT00549757
CQAB149B2338-2743.pdf,CQAB149B2338,NCT00529529
CSPP100A2339-2677.pdf,CSPP100A2339,NCT00529451
novo-NN2211-1797.pdf,NN2211-1797,NCT00518882
CZOL446HUS136-2594.pdf,CZOL446HUS136,NCT00489424
CCOX189A2361E1-1882.pdf,CCOX189A2361E1,NCT00476034
novo-NN304-1687.pdf,NN304-1687,NCT00474045
CMEX839BDE03-3101.pdf,CMEX839BDE03,NCT00451412
CVAH631BUS06-2574.pdf,CVAH631BUS06,NCT00439738
CZOL446M2309-4646.pdf,CZOL446M2309,NCT00439647
CZOL446H2409-2856.pdf,CZOL446H2409,NCT00439244
CVAH631BUS07-2543.pdf,CVAH631BUS07,NCT00425997
CVAA489A1301-2633.pdf,CVAA489A1301,NCT00425373
CENA713D1301E1-4162.pdf,CENA713D1301E1,NCT00423085
CSPP100A2340-3423.pdf,CSPP100A2340,NCT00414609
CVAA489A2316-2582.pdf,CVAA489A2316,NCT00413413
CVAA489A2315-2579.pdf,CVAA489A2315,NCT00413049
CVAA489A2201-2488.pdf,CVAA489A2201,NCT00409760
CVAA489A2307-2478.pdf,CVAA489A2307,NCT00409643
CZOL446HDE31-2881.pdf,CZOL446HDE31,NCT00404820
CVEA489ABR01-2527.pdf,CVEA489ABR01,NCT00400777
novo-NN4440-1794.pdf,NN4440-1794,NCT00399711
CLAF237A23104-2654.pdf,CLAF237A23104,NCT00396357
